FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt),bh3
61,0,0,16.54,25.10,44.44,27.55,21.65,22.34,24.75,11.70,19.39,25.74,2000,2000,2000,2000,1100,1100,1100,1300,66.80,3200,35.00,219,61,43.80,879,3.89
61,0,0,24.76,25.44,44.66,28.13,18.95,29.52,24.24,12.75,19.00,26.21,1200,1200,1200,1200,1100,1100,1100,1300,64.60,2667,35.00,219,61,43.80,879,3.935
54,1,1,140.28,28.55,45.74,42.86,28.00,25.77,23.23,14.00,21.21,29.59,2000,2000,2000,2000,1100,1100,1100,1300,64.30,2667,37.00,219,61,43.80,671,3.935
60,0,0,33.01,26.34,45.92,31.96,26.53,30.00,23.23,14.29,16.49,23.53,1200,1200,1200,1200,1100,1100,1100,1300,63.20,3200,39.00,219,61,43.80,671,3.935
60,0,0,41.26,27.33,45.36,32.65,24.49,25.77,24.00,16.83,19.00,29.00,2000,2000,2000,2000,1100,1100,1100,1300,62.90,2667,37.00,219,61,43.80,671,3.935
20,1,1,305.29,28.75,39.60,29.59,31.31,27.27,16.83,12.00,6.19,69.70,1300,1300,1300,1300,1700,1700,1700,2850,66.60,3200,11.00,219,61,43.80,783,3.939
0,0,0,0.01,23.67,28.87,21.21,18.81,17.17,12.12,6.12,20.41,63.64,1300,1300,1300,1300,1100,1100,1100,2850,70.80,4266,0.00,219,61,43.80,783,3.939
0,0,0,0.01,23.60,29.59,22.45,19.00,16.16,16.50,8.08,15.31,67.37,2000,2000,2000,2000,1100,1100,1100,2850,69.30,3200,0.00,219,61,43.80,783,3.939
0,0,0,0.00,25.34,26.60,23.53,17.17,14.29,20.20,8.00,22.55,67.96,950,950,950,950,1100,1100,1100,2000,64.40,2667,0.00,219,61,43.80,868,3.932
0,0,0,0.00,27.74,37.25,26.73,21.65,20.59,15.15,11.88,25.00,60.61,1250,1250,1250,1250,2450,2450,2450,1300,66.50,2667,0.00,219,61,43.80,868,3.932
0,0,0,0.00,25.73,30.00,21.43,18.37,18.00,11.34,9.00,16.00,81.00,1100,1100,1100,1100,1700,1700,1700,2850,65.60,3200,1.00,219,61,43.80,868,3.932
1,0,0,0.01,27.72,30.93,23.47,21.57,14.58,18.18,18.18,34.31,58.76,1400,1400,1400,1400,2450,2450,2450,2650,71.60,5500,6.00,852,61,43.80,886,3.932
62,1,1,173.25,45.19,49.00,35.35,29.29,27.55,45.26,49.49,64.29,64.21,1600,1600,1600,1600,2450,2450,2450,2850,73.60,6400,75.00,852,61,43.80,886,3.94
79,0,0,16.56,37.50,44.44,33.67,30.53,25.81,28.72,26.73,51.49,57.58,1500,1500,1500,1500,2450,2450,2450,2850,76.40,5500,99.00,852,61,43.80,886,3.94
76,1,0,49.55,39.18,49.47,34.74,28.42,26.32,27.37,27.27,55.34,63.00,1900,1900,1900,1900,2450,2450,2450,2850,80.50,6400,94.00,852,61,43.80,2062,3.94
66,0,0,57.77,45.90,56.84,52.17,49.45,51.55,20.00,11.22,61.39,62.75,1900,1900,1900,1900,1400,1400,1400,1700,77.70,6400,89.00,852,61,43.80,2062,3.863
80,0,0,16.53,45.43,55.56,54.64,51.58,51.02,14.58,5.21,61.62,69.39,1700,1700,1700,1700,2450,2450,2450,2850,81.00,6400,99.00,852,61,43.80,2062,3.863
78,0,0,49.51,41.26,50.00,43.30,38.14,42.57,22.22,19.23,53.92,62.75,1400,1400,1400,1400,2450,2450,2450,2850,81.50,6400,97.00,852,61,43.80,1951,3.863
76,1,0,41.26,37.82,46.81,31.18,28.28,26.88,32.32,23.40,51.00,62.00,1150,1150,1150,1150,2450,2450,2450,2850,80.60,6400,97.00,852,61,43.80,1951,3.863
58,0,0,49.51,35.26,43.75,29.17,20.83,25.00,27.55,23.16,48.48,60.00,1150,1150,1150,1150,2450,2450,2450,2850,83.80,6400,90.00,852,61,43.80,1951,3.881
67,0,0,33.02,41.11,51.55,37.76,33.33,33.33,34.00,26.80,48.51,62.38,1800,1800,1800,1800,2450,2450,2450,2850,85.00,6400,97.00,852,61,43.80,1951,3.881
69,0,0,33.00,42.88,52.75,42.27,39.39,36.17,33.33,29.59,48.48,61.39,1300,1300,1300,1300,2450,2450,2450,2850,85.40,6400,98.00,852,61,43.80,1951,3.881
54,0,0,57.78,39.63,52.75,39.36,32.95,36.56,30.93,27.55,42.00,55.79,1600,1600,1600,1600,2450,2450,2450,2850,83.40,6400,96.00,852,61,43.80,1951,3.881
46,0,0,24.80,39.95,53.61,38.30,38.00,34.69,31.31,26.73,42.57,54.46,1150,1150,1150,1150,2450,2450,2450,2850,82.80,6400,99.00,852,61,43.80,2040,3.872
44,0,0,74.27,40.38,54.17,39.36,40.20,38.14,31.63,30.48,37.76,53.92,1400,1400,1400,1400,2450,2450,2450,2850,85.50,6400,95.00,852,61,43.80,2040,3.872
40,0,0,82.52,42.16,53.19,56.25,47.87,45.74,16.83,11.22,45.00,60.82,1900,1900,1900,1900,2400,2400,2400,2650,86.30,6400,93.00,852,61,43.80,2040,3.872
46,0,0,115.51,43.91,53.54,46.00,43.75,42.57,24.51,20.00,59.41,63.11,1600,1600,1600,1600,1300,1300,1300,1500,81.30,6400,88.00,852,61,43.80,1847,3.887
56,0,0,24.79,52.45,50.00,43.30,38.14,38.71,47.31,47.00,64.00,89.00,1400,1400,1400,1400,1400,1400,1400,1600,82.10,6400,96.00,852,61,43.80,1847,3.887
53,0,0,49.51,47.00,55.21,40.22,35.11,36.08,43.56,31.58,58.76,74.23,1600,1600,1600,1600,2450,2450,2450,2750,84.80,6400,95.00,852,61,43.80,1847,3.887
53,0,0,24.77,36.78,41.94,34.34,30.61,28.13,28.87,26.26,43.43,61.00,1500,1500,1500,1500,2450,2450,2450,2850,84.10,6400,99.00,852,61,43.80,1832,3.887
35,1,1,272.32,36.61,45.26,29.79,25.53,27.55,26.04,37.11,53.47,46.08,1300,1300,1300,1300,2000,2000,2000,2200,82.00,6400,64.00,852,61,43.80,1832,3.873
56,0,0,24.81,45.41,47.83,31.63,25.00,30.00,45.36,39.00,61.39,82.47,1250,1250,1250,1250,1900,1900,1900,2100,81.90,6400,98.00,852,61,43.80,1832,3.873
45,0,0,24.78,33.38,45.26,28.57,27.08,28.87,30.00,20.62,38.38,50.50,2000,2000,2000,2000,2400,2400,2400,2650,83.50,6400,99.00,852,61,43.80,1795,3.873
51,0,0,24.78,36.14,46.32,33.68,30.30,31.25,26.09,25.25,41.41,55.32,1150,1150,1150,1150,2450,2450,2450,2850,83.50,6400,99.00,852,61,43.80,1795,3.874
56,0,0,24.78,40.47,51.65,37.89,36.73,34.04,28.42,25.77,45.92,58.33,1150,1150,1150,1150,2450,2450,2450,2850,85.70,6400,99.00,852,61,43.80,1795,3.874
50,0,0,24.81,42.68,57.45,52.04,48.42,50.00,20.79,14.56,45.00,58.42,1400,1400,1400,1400,2450,2450,2450,2850,85.50,6400,99.00,852,61,43.80,1999,3.874
60,1,0,66.05,38.50,47.96,34.65,25.00,25.77,35.29,25.51,44.90,69.39,1600,1600,1600,1600,2100,2100,2100,2300,83.90,6400,95.00,852,61,43.80,1999,3.874
50,0,0,24.77,33.08,42.71,29.17,25.25,28.13,24.21,21.65,38.00,54.55,1250,1250,1250,1250,2450,2450,2450,2850,87.60,6400,99.00,852,61,43.80,1999,3.87
49,0,0,33.01,33.29,42.71,29.17,22.45,24.49,22.34,22.22,36.00,65.66,2000,2000,2000,2000,2450,2450,2450,2850,85.00,6400,98.00,852,61,43.80,2025,3.87
63,0,0,57.76,42.16,49.46,34.69,29.17,28.87,34.38,31.68,51.02,78.00,1600,1600,1600,1600,2450,2450,2450,2850,87.20,6400,99.00,852,61,43.80,2025,3.87
68,1,0,74.85,48.78,50.00,54.08,39.36,57.29,35.05,30.61,53.00,70.00,1900,1900,1900,1900,2450,2450,2450,2850,89.00,6400,98.00,852,61,43.80,2025,3.87
68,0,0,24.76,47.38,56.38,48.48,40.00,42.71,35.79,29.79,56.12,71.28,1800,1800,1800,1800,2450,2450,2450,2850,92.10,6400,99.00,852,61,43.80,2244,3.868
44,0,0,33.03,45.39,55.43,50.49,44.79,44.90,39.42,31.58,40.59,55.56,1200,1200,1200,1200,2450,2450,2450,2850,86.00,6400,97.00,852,61,43.80,2244,3.868
38,0,0,41.26,31.89,45.92,33.33,28.57,26.37,26.47,21.00,32.00,40.82,1000,1000,1000,1000,2450,2450,2450,2850,85.30,6400,99.00,852,61,43.80,2244,3.868
51,0,0,33.01,37.28,46.81,33.68,26.04,25.51,32.00,29.00,51.55,53.06,2000,2000,2000,2000,1300,1300,1300,1500,82.10,6400,89.00,852,61,43.80,1981,3.877
43,0,0,107.27,42.68,56.57,50.51,48.00,48.98,14.43,17.00,50.51,54.90,1400,1400,1400,1400,1800,1800,1800,2000,82.60,6400,82.00,852,61,43.80,1981,3.877
55,0,0,33.01,45.49,56.99,55.32,52.53,48.45,15.46,5.10,59.00,70.71,1500,1500,1500,1500,1900,1900,1900,2100,82.30,6400,96.00,852,61,43.80,1981,3.877
51,0,0,24.82,41.52,55.43,51.58,53.61,52.08,15.15,8.00,44.44,56.00,1400,1400,1400,1400,2450,2450,2450,2850,83.20,6400,99.00,852,61,43.80,1677,3.877
41,0,0,41.26,32.44,51.00,32.26,34.31,29.79,26.47,19.19,25.77,40.00,1300,1300,1300,1300,2400,2400,2400,2650,82.70,6400,99.00,852,61,43.80,1677,3.868
51,0,0,41.27,36.05,50.00,37.50,35.05,37.50,25.26,22.45,32.65,47.47,1700,1700,1700,1700,2450,2450,2450,2750,90.50,6400,99.00,852,61,43.80,1677,3.868
56,0,0,16.60,41.68,52.08,38.14,29.03,27.37,38.14,39.22,54.00,55.10,1400,1400,1400,1400,1100,1100,1100,1300,81.00,5500,74.00,642,61,43.80,1988,3.868
66,0,0,33.01,38.99,48.42,29.35,24.21,25.00,38.83,30.61,46.46,64.36,1150,1150,1150,1150,2450,2450,2450,2850,82.70,6400,99.00,852,61,43.80,1988,3.879
74,0,0,24.75,43.18,51.52,39.58,27.17,30.93,38.04,32.29,53.13,71.43,1500,1500,1500,1500,1700,1700,1700,1900,83.10,6400,99.00,852,61,43.80,1988,3.879
62,0,0,49.50,37.08,49.46,31.18,25.00,27.84,33.67,30.61,45.00,56.44,2000,2000,2000,2000,2450,2450,2450,2850,85.30,6400,97.00,852,61,43.80,2129,3.879
63,0,0,24.77,32.32,46.32,30.11,25.81,21.98,24.47,20.21,37.37,48.98,1400,1400,1400,1400,2450,2450,2450,2850,84.30,6400,99.00,852,61,43.80,2129,3.879
52,1,0,66.13,34.60,54.08,43.96,41.30,41.05,14.29,6.06,28.42,50.00,1500,1500,1500,1500,2450,2450,2450,2850,83.90,6400,95.00,852,61,43.80,2129,3.865
50,0,0,24.78,35.50,54.17,47.92,44.79,45.26,12.12,6.93,32.00,42.57,1400,1400,1400,1400,2450,2450,2450,2850,85.60,6400,99.00,852,61,43.80,1903,3.865
42,0,0,33.02,31.11,40.38,27.27,23.76,32.67,26.00,24.27,29.41,46.08,1100,1100,1100,1100,2400,2400,2400,2650,83.70,6400,97.00,852,61,43.80,1903,3.865
53,0,0,24.77,36.04,40.91,29.90,27.27,25.51,29.90,22.92,42.86,64.95,1700,1700,1700,1700,2200,2200,2200,2400,83.90,6400,99.00,852,61,43.80,1903,3.86
47,0,0,24.77,35.26,48.04,30.21,28.87,33.66,27.27,21.00,37.00,55.77,1100,1100,1100,1100,2450,2450,2450,2750,86.10,6400,99.00,852,61,43.80,1918,3.86
43,1,1,338.27,38.10,42.86,31.31,28.57,24.74,23.66,18.95,39.80,93.94,1400,1400,1400,1400,1100,1100,1100,1300,82.60,6400,66.00,852,60,44.30,1918,3.86
46,0,0,41.29,46.93,52.13,40.00,39.39,38.71,37.89,33.68,56.12,77.08,1150,1150,1150,1150,2450,2450,2450,2850,84.50,6400,94.00,852,60,44.30,1918,3.86
44,0,0,24.81,40.34,54.26,38.54,36.17,40.00,27.37,27.45,37.00,63.92,1900,1900,1900,1900,2450,2450,2450,2850,89.80,6400,99.00,852,60,44.30,1773,3.875
39,0,0,57.77,34.27,47.96,32.98,27.55,28.57,25.26,23.23,33.67,53.00,1050,1050,1050,1050,2450,2450,2450,2850,84.90,6400,96.00,852,60,44.30,1773,3.875
45,0,0,33.03,35.35,44.79,32.67,27.27,24.49,29.41,22.77,36.63,65.31,1400,1400,1400,1400,2200,2200,2200,2400,86.40,6400,99.00,852,60,44.30,1773,3.875
53,0,0,33.00,47.02,57.89,53.26,52.58,51.58,21.28,14.00,54.08,71.43,1800,1800,1800,1800,2100,2100,2100,2300,85.10,5500,99.00,800,60,44.30,2066,3.856
66,0,0,24.76,47.67,57.43,42.27,40.00,37.11,35.00,30.39,58.25,81.82,1900,1900,1900,1900,2450,2450,2450,2850,87.80,6400,99.00,852,60,44.30,2066,3.856
60,0,0,33.01,42.09,50.53,36.73,36.27,39.18,30.21,29.00,51.52,64.58,1150,1150,1150,1150,2450,2450,2450,2850,87.40,6400,98.00,852,60,44.30,2066,3.856
52,0,0,24.77,35.18,42.55,30.21,26.00,28.43,31.73,20.41,41.58,58.42,950,950,950,950,2450,2450,2450,2850,86.80,6400,99.00,852,60,44.30,2096,3.858
54,0,0,49.49,39.48,48.45,36.73,34.74,29.17,32.65,22.83,47.00,65.63,1400,1400,1400,1400,2200,2200,2200,2400,87.50,6400,99.00,852,60,44.30,2096,3.858
63,1,0,57.77,38.11,45.74,31.91,23.96,26.53,29.03,26.53,49.00,70.00,1400,1400,1400,1400,2450,2450,2450,2850,89.70,6400,99.00,852,60,44.30,2096,3.858
55,0,0,66.02,36.84,46.15,35.71,29.00,29.59,31.68,21.88,43.56,57.73,1300,1300,1300,1300,2450,2450,2450,2750,89.30,6400,99.00,852,60,44.30,2188,3.858
58,0,0,66.01,43.04,52.63,39.13,35.11,35.79,36.73,31.25,47.00,65.35,1800,1800,1800,1800,2450,2450,2450,2750,91.70,6400,99.00,852,60,44.30,2188,3.857
56,0,0,24.78,42.50,56.38,41.67,36.56,37.36,31.25,28.13,44.44,63.27,1300,1300,1300,1300,2450,2450,2450,2850,88.50,6400,99.00,852,60,44.30,2188,3.857
50,1,1,83.13,35.10,46.81,33.33,29.79,28.87,25.26,22.22,37.37,57.58,1500,1500,1500,1500,2450,2450,2450,2850,90.20,6400,98.00,852,60,44.30,2192,3.857
66,0,0,24.76,40.52,50.00,34.78,32.32,28.57,32.00,24.49,52.00,71.72,1400,1400,1400,1400,2450,2450,2450,2850,88.20,6400,98.00,852,60,44.30,2192,3.857
62,0,0,24.76,36.05,45.74,26.37,25.51,24.21,28.87,22.68,44.55,67.65,1150,1150,1150,1150,2300,2300,2300,2550,88.50,6400,99.00,852,60,44.30,2192,3.85
57,0,0,57.76,42.71,50.53,36.08,34.34,29.59,34.95,28.71,45.45,81.00,2000,2000,2000,2000,2450,2450,2450,2850,92.40,5500,99.00,800,60,44.30,2148,3.85
60,0,0,66.04,47.84,53.93,38.20,42.71,39.80,42.16,35.35,53.61,77.08,1700,1700,1700,1700,2400,2400,2400,2650,92.20,6400,99.00,852,60,44.30,2148,3.85
63,1,0,74.27,39.67,47.37,32.29,24.21,26.32,31.25,27.55,51.52,73.27,1500,1500,1500,1500,2400,2400,2400,2650,91.00,6400,95.00,852,60,44.30,2148,3.85
67,0,0,24.77,50.52,57.14,42.39,42.27,45.54,36.17,38.46,60.61,81.91,1150,1150,1150,1150,2450,2450,2450,2850,91.60,6400,99.00,852,60,44.30,2085,3.853
40,0,0,33.04,36.98,48.89,42.57,38.78,35.79,24.21,18.28,36.63,50.98,1200,1200,1200,1200,2450,2450,2450,2850,88.10,6400,99.00,852,60,44.30,2085,3.853
34,0,0,41.27,28.11,38.04,29.00,23.16,26.04,20.83,17.17,31.00,42.86,2000,2000,2000,2000,2450,2450,2450,2850,87.60,6400,99.00,852,60,44.30,2085,3.853
44,0,0,33.03,32.38,42.86,30.61,25.74,24.24,26.47,20.59,35.00,50.50,1400,1400,1400,1400,2200,2200,2200,2400,87.80,6400,99.00,852,60,44.30,1947,3.86
64,0,0,24.76,49.74,54.74,45.92,40.21,41.58,43.00,34.34,56.12,82.65,1900,1900,1900,1900,2450,2450,2450,2850,90.10,6400,99.00,852,60,44.30,1947,3.86
58,0,0,24.77,48.70,59.78,56.99,55.21,52.69,21.43,18.00,56.00,71.13,1500,1500,1500,1500,2450,2450,2450,2850,90.30,6400,99.00,852,60,44.30,1947,3.86
45,0,0,24.82,46.65,64.29,58.51,56.99,58.33,14.58,6.06,52.00,64.36,1400,1400,1400,1400,2450,2450,2450,2850,90.70,6400,99.00,852,60,44.30,2185,3.86
45,0,0,41.26,47.34,56.18,51.52,49.00,51.52,31.00,21.65,47.47,69.23,1050,1050,1050,1050,2450,2450,2450,2850,88.00,6400,99.00,852,60,44.30,2185,3.845
52,0,0,24.78,38.64,45.74,31.58,24.47,30.30,31.96,28.71,46.53,69.00,1300,1300,1300,1300,1800,1800,1800,2000,88.10,6400,99.00,852,60,44.70,2185,3.845
54,0,0,41.26,41.37,46.24,32.61,32.65,30.53,38.38,29.47,49.00,70.71,950,950,950,950,2450,2450,2450,2850,87.60,6400,99.00,852,60,44.70,2114,3.845
46,0,0,33.02,34.57,42.55,34.31,35.64,26.04,28.28,21.43,37.00,52.00,1300,1300,1300,1300,2100,2100,2100,2300,87.80,6400,99.00,852,60,44.70,2114,3.845
57,0,0,41.23,44.00,52.81,39.36,36.46,40.40,37.62,29.17,46.94,68.69,1200,1200,1200,1200,2100,2100,2100,2300,88.10,6400,99.00,852,60,44.70,2114,3.862
52,0,0,24.81,41.50,54.35,42.11,34.41,35.87,31.18,26.53,43.30,64.29,1400,1400,1400,1400,2450,2450,2450,2850,88.80,6400,99.00,852,60,44.70,2111,3.862
54,0,0,57.76,42.68,54.17,40.43,37.50,38.14,33.98,29.29,43.81,61.54,1300,1300,1300,1300,2400,2400,2400,2650,88.60,6400,99.00,852,60,44.70,2111,3.862
61,0,0,49.51,39.60,47.96,34.69,27.84,34.65,30.93,29.52,46.08,65.66,1400,1400,1400,1400,2450,2450,2450,2850,89.50,6400,99.00,852,60,44.70,2111,3.855
53,0,0,41.26,41.77,55.79,47.37,47.52,45.92,16.67,6.32,49.00,63.64,1700,1700,1700,1700,2450,2450,2450,2750,90.60,6400,99.00,852,60,44.70,2047,3.855
57,0,0,41.25,48.57,61.39,54.08,52.04,44.21,27.36,17.65,49.50,83.84,2000,2000,2000,2000,2450,2450,2450,2850,91.20,6400,97.00,852,60,44.70,2047,3.855
60,0,0,24.77,48.78,56.99,44.21,39.36,42.71,39.39,36.36,53.54,79.00,1600,1600,1600,1600,2450,2450,2450,2850,92.50,5500,99.00,800,60,44.70,2047,3.855
57,1,1,90.74,43.44,44.09,34.65,30.93,27.72,36.73,31.25,54.90,86.87,1200,1200,1200,1200,1400,1400,1400,1600,87.70,6400,81.00,852,60,44.70,2214,3.857
55,0,0,24.75,45.68,51.04,39.39,36.36,32.99,37.76,26.88,48.48,92.93,1050,1050,1050,1050,2450,2450,2450,2850,92.80,5500,97.00,721,60,44.70,2214,3.857
44,0,0,33.00,56.51,71.28,67.01,59.38,62.89,42.45,35.64,45.83,69.79,2000,2000,2000,2000,2400,2400,2400,2650,88.00,6400,80.00,852,60,44.70,2214,3.857
39,0,0,33.02,44.55,52.53,51.96,50.00,51.92,32.71,26.67,34.00,56.86,1800,1800,1800,1800,2450,2450,2450,2650,92.60,5500,99.00,800,60,44.70,2348,3.853
45,0,0,49.49,54.95,59.78,65.26,67.71,63.16,36.96,34.69,46.88,63.54,2000,2000,2000,2000,1900,1900,1900,2100,91.10,6400,99.00,852,60,44.70,2348,3.853
62,0,0,24.77,54.23,57.00,52.94,41.84,59.80,43.56,36.27,55.88,89.22,1200,1200,1200,1200,1700,1700,1700,1900,88.10,5500,99.00,800,60,44.70,2348,3.853
69,1,0,57.76,52.99,56.84,38.64,55.00,64.95,35.11,30.11,53.54,84.69,1900,1900,1900,1900,2450,2450,2450,2850,93.10,5500,99.00,800,60,44.70,2203,3.84
50,1,0,66.02,49.21,59.34,55.91,53.68,53.61,30.21,23.96,48.48,70.21,1800,1800,1800,1800,2450,2450,2450,2850,89.20,6400,99.00,852,60,44.70,2203,3.84
42,0,0,74.25,42.36,53.68,41.84,39.80,42.42,32.32,25.53,39.39,63.64,1050,1050,1050,1050,2450,2450,2450,2850,92.60,6400,99.00,852,60,44.70,2203,3.84
45,0,0,74.26,38.34,47.37,33.33,31.63,30.11,33.98,26.00,41.58,62.24,1150,1150,1150,1150,2400,2400,2400,2650,89.90,6400,99.00,800,60,44.70,2218,3.84
47,0,0,66.01,39.46,46.88,34.74,28.42,29.29,32.32,27.27,40.59,76.29,1700,1700,1700,1700,1800,1800,1800,2000,89.50,6400,99.00,852,60,44.70,2218,3.857
53,0,0,57.76,45.52,51.58,38.14,32.63,37.11,39.60,33.33,53.47,79.00,1300,1300,1300,1300,2000,2000,2000,2200,89.60,5500,99.00,852,60,44.70,2218,3.857
61,0,0,24.76,48.13,53.68,38.95,36.96,36.08,39.80,34.34,55.56,86.87,1500,1500,1500,1500,2450,2450,2450,2750,91.40,5500,98.00,800,60,44.70,2177,3.857
54,0,0,66.01,38.84,48.96,31.18,26.04,28.87,33.00,26.80,46.94,68.37,1100,1100,1100,1100,2450,2450,2450,2850,91.30,6400,99.00,852,60,44.70,2177,3.857
52,1,1,82.79,37.61,48.42,31.25,26.04,25.53,33.00,28.00,41.84,66.67,2000,2000,2000,2000,2450,2450,2450,2850,91.40,6400,98.00,852,60,44.70,2177,3.863
44,0,0,33.02,37.48,42.39,35.05,26.80,31.31,29.90,24.49,40.59,66.02,1150,1150,1150,1150,2450,2450,2450,2850,90.70,6400,99.00,852,60,44.70,2062,3.863
50,1,0,74.27,49.04,55.10,39.78,41.05,41.67,38.54,35.00,50.51,88.00,2000,2000,2000,2000,1200,1200,1200,1400,86.90,6400,93.00,852,60,44.70,2062,3.863
44,0,0,33.01,42.58,53.76,51.00,44.44,45.00,20.00,14.14,48.98,66.67,2000,2000,2000,2000,2450,2450,2450,2850,88.10,6400,98.00,852,60,44.70,2062,3.863
50,0,0,49.51,46.65,58.33,54.08,55.67,53.13,16.16,8.08,52.94,73.08,1900,1900,1900,1900,1900,1900,1900,2100,88.60,6400,99.00,852,60,44.70,1999,3.867
58,0,0,33.00,56.02,66.33,61.62,62.38,60.20,29.29,24.24,58.42,88.00,1400,1400,1400,1400,2000,2000,2000,2200,88.10,6400,96.00,852,60,44.70,1999,3.867
51,0,0,24.78,43.30,54.17,44.21,34.78,36.96,30.93,31.37,44.00,65.69,1500,1500,1500,1500,2450,2450,2450,2850,93.20,6400,99.00,852,60,44.70,1999,3.867
60,0,0,66.02,40.94,49.48,34.34,25.00,37.76,34.34,29.70,47.06,71.43,1100,1100,1100,1100,2300,2300,2300,2550,89.50,6400,99.00,852,60,44.70,2088,3.856
47,0,0,57.76,35.32,40.45,32.65,27.55,29.29,26.32,20.00,40.59,62.63,1600,1600,1600,1600,2450,2450,2450,2850,91.30,5500,99.00,800,60,44.70,2088,3.856
50,0,0,82.52,37.44,46.94,31.00,26.00,25.25,33.33,25.25,40.82,71.00,1150,1150,1150,1150,1800,1800,1800,2000,89.60,6400,99.00,852,60,44.70,2088,3.856
49,0,0,41.26,37.36,42.11,28.87,20.21,28.57,31.00,25.25,40.40,82.83,1400,1400,1400,1400,2100,2100,2100,2300,90.10,6400,98.00,852,60,44.70,2129,3.856
58,0,0,24.77,50.77,57.14,42.11,36.08,35.42,46.60,35.42,57.73,94.95,2000,2000,2000,2000,1600,1600,1600,1800,89.20,6400,99.00,852,60,44.70,2129,3.853
65,0,0,16.54,43.83,48.94,34.38,26.53,28.57,35.79,33.00,57.29,85.15,1400,1400,1400,1400,2450,2450,2450,2850,93.70,6400,99.00,852,60,44.70,2129,3.853
58,0,0,41.26,53.13,64.95,53.76,56.04,55.79,27.27,23.47,58.76,85.11,2000,2000,2000,2000,2450,2450,2450,2850,92.10,6400,97.00,852,60,44.70,2151,3.853
39,0,0,33.02,43.98,58.70,57.43,56.57,54.00,14.29,6.12,46.53,59.41,1700,1700,1700,1700,2450,2450,2450,2850,90.60,6400,99.00,852,60,44.70,2151,3.853
38,0,0,33.03,30.34,41.05,30.21,21.88,25.25,21.43,19.61,34.62,48.51,1050,1050,1050,1050,2400,2400,2400,2650,88.30,6400,99.00,852,60,44.70,2151,3.845
58,0,0,24.77,39.90,47.42,35.05,29.17,29.17,35.05,28.13,44.68,70.41,2000,2000,2000,2000,2450,2450,2450,2850,89.60,6400,98.00,852,60,44.70,1999,3.845
60,0,0,24.78,36.44,45.74,29.17,24.21,24.74,32.04,27.88,42.57,63.00,1100,1100,1100,1100,2400,2400,2400,2650,88.00,6400,99.00,852,60,44.70,1999,3.845
63,0,0,41.26,38.14,44.94,36.00,34.00,27.37,33.66,23.71,43.88,64.29,1400,1400,1400,1400,2450,2450,2450,2850,91.10,6400,99.00,852,60,44.70,1999,3.845
56,0,0,32.98,36.81,46.32,30.21,26.80,28.28,32.38,26.00,42.16,61.17,1400,1400,1400,1400,2450,2450,2450,2850,90.20,6400,99.00,852,60,44.70,2044,3.858
49,0,0,57.78,34.24,42.71,29.47,25.00,25.77,31.58,23.96,34.69,59.60,1500,1500,1500,1500,1700,1700,1700,1900,87.40,6400,96.00,852,60,44.70,2044,3.858
58,0,0,24.76,46.76,52.13,36.17,29.79,33.67,47.92,36.46,54.46,80.20,1400,1400,1400,1400,1300,1300,1300,1500,86.00,6400,99.00,852,60,44.70,2044,3.858
59,1,0,49.53,40.59,45.74,32.00,25.77,29.90,37.76,27.37,48.48,74.00,1600,1600,1600,1600,1300,1300,1300,1500,85.70,6400,95.00,852,60,44.70,1754,3.868
78,0,0,16.52,46.31,54.84,50.00,46.32,45.16,27.08,16.49,50.54,82.00,1800,1800,1800,1800,1900,1900,1900,2100,85.00,6400,97.00,852,60,44.70,1754,3.868
57,0,0,49.51,34.17,43.01,33.66,26.53,29.70,29.13,20.79,37.25,53.47,1200,1200,1200,1200,2300,2300,2300,2550,85.80,6400,99.00,852,60,44.70,1754,3.868
78,0,0,33.02,40.59,47.31,33.33,23.66,27.84,39.00,31.25,51.00,69.61,1250,1250,1250,1250,2450,2450,2450,2850,88.80,6400,99.00,852,60,44.70,1977,3.869
57,0,0,33.00,32.22,40.43,32.35,25.74,25.77,25.53,20.00,35.71,52.04,2000,2000,2000,2000,2200,2200,2200,2400,88.00,6400,99.00,852,60,44.70,1977,3.869
61,0,0,24.79,30.85,44.90,27.66,24.24,21.51,23.96,22.22,30.30,50.51,1200,1200,1200,1200,2450,2450,2450,2850,87.60,6400,99.00,852,60,44.70,1977,3.869
53,0,0,57.82,28.24,36.67,28.13,21.28,24.24,24.49,20.00,25.51,45.54,1900,1900,1900,1900,2450,2450,2450,2850,86.60,6400,99.00,852,60,44.70,1877,3.869
49,0,0,33.00,27.62,40.63,30.10,17.89,21.05,22.45,17.35,26.00,45.45,1250,1250,1250,1250,2450,2450,2450,2850,90.60,6400,99.00,852,60,44.70,1877,3.862
46,0,0,33.03,29.59,39.18,27.08,20.62,27.00,18.68,16.67,31.63,55.00,1500,1500,1500,1500,2000,2000,2000,2200,87.10,6400,99.00,852,60,44.70,1877,3.862
