FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt),bh3
88,0,0,16.53,42.56,55.32,44.68,41.24,42.27,23.47,14.43,49.48,71.58,2000,2000,2000,2000,2450,2450,2450,2750,74.60,6400,99.00,852,65,36.00,1951,3.881
49,0,0,24.79,39.55,57.00,52.04,47.52,47.96,14.14,6.06,42.00,48.45,1500,1500,1500,1500,2450,2450,2450,2850,74.60,6400,99.00,852,65,36.00,1866,3.881
50,0,0,24.77,40.75,55.10,51.02,45.92,45.54,16.33,13.46,45.10,54.90,1100,1100,1100,1100,2450,2450,2450,2850,74.30,6400,99.00,852,65,36.00,1866,3.881
61,0,0,66.00,39.57,44.68,29.35,23.16,29.70,36.89,30.39,50.50,73.00,2000,2000,2000,2000,2450,2450,2450,2850,78.80,5500,97.00,721,65,36.00,1866,3.886
78,1,0,49.52,37.80,51.55,31.25,28.00,25.26,31.31,29.70,39.00,66.67,1300,1300,1300,1300,2400,2400,2400,2650,74.10,6400,86.00,852,65,36.00,1970,3.886
75,0,0,16.53,31.57,45.74,31.63,21.51,25.51,25.51,20.00,31.63,51.02,1200,1200,1200,1200,2450,2450,2450,2850,74.10,6400,98.00,852,65,36.00,1970,3.886
77,0,0,57.75,31.75,43.75,29.29,21.28,26.32,24.74,22.00,31.63,52.00,2000,2000,2000,2000,2400,2400,2400,2650,75.80,5500,96.00,721,65,36.00,1970,3.893
80,0,0,33.00,33.54,45.83,34.02,27.55,29.29,24.74,25.96,29.90,51.02,950,950,950,950,2450,2450,2450,2850,74.10,6400,99.00,852,65,36.00,1825,3.893
68,1,0,66.02,34.22,45.54,32.32,25.77,27.00,24.73,26.26,35.00,56.86,1200,1200,1200,1200,2450,2450,2450,2850,75.10,6400,98.00,852,65,36.00,1825,3.893
51,0,0,24.78,34.79,49.47,37.00,24.18,27.08,26.60,22.22,37.76,50.51,1250,1250,1250,1250,2450,2450,2450,2850,74.20,6400,99.00,852,65,36.00,1825,3.893
38,0,0,74.25,34.22,52.38,40.00,35.35,40.00,14.58,10.31,38.38,42.42,2000,2000,2000,2000,2450,2450,2450,2850,73.70,6400,97.00,852,65,36.00,1862,3.897
36,0,0,74.27,40.29,54.55,48.51,48.51,46.08,17.31,15.38,44.55,49.51,1250,1250,1250,1250,2450,2450,2450,2750,75.90,6400,95.00,852,65,36.00,1862,3.897
39,0,0,33.02,31.49,44.55,32.32,25.25,26.26,23.47,18.56,33.00,47.00,1050,1050,1050,1050,2450,2450,2450,2850,74.20,6400,99.00,852,65,36.00,1862,3.897
41,0,0,33.02,35.38,46.32,30.85,29.59,27.66,28.57,25.74,38.00,55.45,1250,1250,1250,1250,2450,2450,2450,2850,74.60,6400,99.00,852,65,36.00,1843,3.878
31,1,1,156.81,38.77,50.53,42.27,35.42,38.00,25.26,25.00,35.00,60.82,1250,1250,1250,1250,2450,2450,2450,2850,73.90,6400,87.00,852,65,37.00,1843,3.878
43,0,0,33.02,46.23,54.64,43.16,44.76,38.30,36.46,34.31,43.75,72.73,1150,1150,1150,1150,1100,1100,1100,1300,73.30,5500,99.00,800,65,37.00,1843,3.878
55,0,0,24.80,48.14,43.96,36.89,26.04,26.53,46.94,39.80,70.41,94.95,1150,1150,1150,1150,1400,1400,1400,1600,73.10,6400,97.00,852,65,37.00,1792,3.902
48,2,1,107.27,50.64,54.95,45.36,38.04,37.36,43.43,43.56,64.65,75.73,1700,1700,1700,1700,1100,1100,1100,1300,71.90,6400,85.00,852,65,37.00,1792,3.902
56,0,0,24.76,54.80,58.24,46.88,41.49,41.05,46.32,42.27,66.32,94.95,2000,2000,2000,2000,1400,1400,1400,1600,72.80,6400,97.00,852,65,37.00,1792,3.902
57,0,0,33.01,47.86,51.06,42.86,30.85,38.83,42.86,38.83,58.82,77.88,1050,1050,1050,1050,1700,1700,1700,1900,73.40,6400,99.00,852,65,37.00,1680,3.904
54,1,0,66.02,54.99,62.37,56.70,51.55,50.53,39.58,29.79,58.76,88.17,2000,2000,2000,2000,1900,1900,1900,2100,73.10,6400,93.00,852,65,37.00,1680,3.904
53,1,1,82.52,46.97,54.26,41.05,39.58,41.18,38.61,31.00,52.94,76.24,1500,1500,1500,1500,2200,2200,2200,2400,73.60,6400,93.00,852,65,37.00,1680,3.904
57,0,0,24.76,41.92,55.32,42.16,34.41,38.38,29.79,28.71,44.90,63.64,1150,1150,1150,1150,2400,2400,2400,2650,76.80,6400,99.00,852,65,37.00,1803,3.904
58,0,0,41.25,45.90,52.63,38.89,39.58,40.82,39.18,36.73,48.98,68.69,1900,1900,1900,1900,2450,2450,2450,2850,78.20,6400,99.00,852,65,37.00,1803,3.891
70,1,0,74.72,43.99,48.96,34.02,26.04,33.33,38.00,32.67,58.82,78.64,2000,2000,2000,2000,2450,2450,2450,2850,78.90,6400,98.00,852,65,37.00,1803,3.891
66,0,0,16.60,45.28,53.85,43.00,32.98,37.76,37.37,30.93,53.61,72.45,1250,1250,1250,1250,2450,2450,2450,2850,79.70,5500,96.00,800,65,37.00,2029,3.891
53,0,0,24.79,31.35,41.67,28.42,20.21,24.49,25.51,21.21,39.18,51.58,1150,1150,1150,1150,2450,2450,2450,2850,77.70,6400,99.00,852,65,37.00,2029,3.891
65,0,0,74.29,45.55,59.41,40.00,39.39,40.40,35.00,29.00,50.98,69.00,1300,1300,1300,1300,2200,2200,2200,2400,76.80,6400,99.00,852,65,37.00,2029,3.886
55,0,0,24.84,33.80,41.94,31.96,22.58,25.25,29.70,21.21,41.00,56.57,1700,1700,1700,1700,2450,2450,2450,2850,76.20,6400,99.00,852,65,37.00,1903,3.886
45,1,1,107.26,34.94,46.39,31.58,26.04,31.00,28.00,30.10,39.00,48.51,1250,1250,1250,1250,2450,2450,2450,2850,78.80,6400,91.00,852,65,37.00,1903,3.886
48,1,1,82.54,40.44,47.83,40.43,38.14,38.54,19.79,14.89,51.52,67.65,1900,1900,1900,1900,2100,2100,2100,2300,75.80,6400,94.00,852,65,37.00,1903,3.886
52,0,0,24.77,47.72,61.22,55.56,49.47,53.13,18.18,17.17,50.98,76.47,1600,1600,1600,1600,2450,2450,2450,2850,82.70,6400,98.00,852,65,37.00,1877,3.895
44,0,0,41.27,43.31,58.24,50.56,53.19,50.00,12.63,7.14,49.00,66.34,1900,1900,1900,1900,2450,2450,2450,2850,78.30,6400,97.00,852,65,37.00,1877,3.895
70,0,0,33.01,48.81,54.17,37.89,36.73,38.00,39.60,36.27,51.46,92.23,1100,1100,1100,1100,1400,1400,1400,1600,72.10,5500,91.00,642,65,37.00,1877,3.895
80,0,0,16.54,41.48,48.39,31.58,25.53,28.13,43.81,30.21,44.21,80.21,1900,1900,1900,1900,2450,2450,2450,2850,74.20,6400,97.00,852,65,37.00,1647,3.92
69,0,0,57.74,32.47,42.22,32.67,24.74,28.13,27.55,22.45,28.87,55.21,1400,1400,1400,1400,2400,2400,2400,2650,75.10,5500,97.00,642,65,37.00,1647,3.92
84,0,0,16.53,35.08,44.57,33.33,21.28,25.00,30.39,26.00,33.00,65.35,1500,1500,1500,1500,2450,2450,2450,2850,77.00,6400,97.00,852,65,37.00,1647,3.92
70,1,0,66.49,32.27,43.75,23.08,22.92,25.00,26.26,23.23,29.00,63.64,1500,1500,1500,1500,2450,2450,2450,2850,78.80,6400,98.00,852,65,37.00,1806,3.92
56,0,0,24.78,40.31,44.09,28.26,22.68,26.80,41.24,36.27,47.00,74.26,1500,1500,1500,1500,2450,2450,2450,2850,77.10,6400,99.00,852,65,37.00,1806,3.896
31,0,0,90.76,24.87,32.58,21.88,22.22,22.92,17.89,15.46,25.51,42.00,1050,1050,1050,1050,2450,2450,2450,2850,75.40,6400,99.00,852,65,37.00,1806,3.896
38,0,0,49.50,36.60,51.06,45.36,38.95,38.14,17.53,13.00,34.02,55.10,1700,1700,1700,1700,1100,1100,1100,1300,75.40,6400,99.00,852,65,37.00,1803,3.896
55,0,0,24.76,47.02,59.38,50.53,49.47,49.46,16.67,13.27,48.98,87.13,2000,2000,2000,2000,1100,1100,1100,1300,71.50,5500,92.00,642,65,37.00,1803,3.896
60,0,0,49.51,43.93,51.02,41.00,33.68,28.13,37.00,23.40,51.02,83.17,2000,2000,2000,2000,1300,1300,1300,1300,73.10,6400,96.00,852,65,37.00,1803,3.915
23,0,0,49.51,26.74,34.04,21.51,23.47,26.80,24.24,20.79,26.73,38.14,900,900,900,900,1100,1100,1100,2150,72.60,6400,99.00,852,65,37.00,1532,3.915
28,0,0,49.53,29.97,38.30,25.77,22.22,23.00,28.43,19.59,28.57,52.43,1400,1400,1400,1400,2450,2450,2450,2850,72.10,5500,97.00,721,65,37.00,1532,3.915
46,0,0,24.77,37.42,38.46,29.03,26.04,22.92,34.34,32.04,46.00,70.10,1500,1500,1500,1500,2400,2400,2400,2650,74.80,6400,99.00,852,65,37.90,1532,3.902
45,0,0,74.27,46.05,50.00,43.88,38.30,43.16,43.27,35.35,45.45,69.70,2000,2000,2000,2000,2450,2450,2450,2850,79.20,6400,99.00,852,65,37.90,1907,3.902
43,0,0,74.25,40.08,51.06,35.48,34.69,41.00,33.67,26.04,38.14,62.24,1250,1250,1250,1250,2450,2450,2450,2850,78.60,6400,99.00,852,64,37.90,1907,3.902
43,0,0,74.26,36.40,44.44,33.67,24.44,27.08,29.47,22.83,41.58,64.65,1400,1400,1400,1400,2450,2450,2450,2850,80.30,6400,99.00,852,64,37.90,1907,3.902
36,0,0,74.27,32.65,41.49,26.37,21.88,27.00,27.08,27.18,34.34,53.61,1500,1500,1500,1500,2450,2450,2450,2850,76.30,6400,99.00,852,64,37.90,1981,3.888
34,0,0,49.52,35.37,50.00,40.40,34.74,36.36,15.96,10.53,36.46,57.00,2000,2000,2000,2000,2450,2450,2450,2850,76.10,6400,99.00,852,64,37.90,1981,3.888
56,0,0,41.27,43.22,51.04,41.84,37.50,37.23,32.67,26.47,39.39,79.61,1150,1150,1150,1150,1100,1100,1100,1300,75.50,6400,96.00,852,64,37.90,1981,3.888
64,0,0,24.76,41.38,48.96,37.00,28.28,23.91,41.58,32.99,40.63,75.49,1200,1200,1200,1200,2400,2400,2400,2650,74.90,6400,99.00,852,64,37.90,1792,3.911
77,0,0,41.25,37.05,44.09,30.21,26.53,27.55,33.33,32.00,37.37,64.36,1500,1500,1500,1500,2450,2450,2450,2750,77.00,6400,99.00,852,64,37.90,1792,3.911
72,0,0,49.50,35.35,44.09,31.96,25.51,29.79,29.59,26.00,32.99,65.66,1800,1800,1800,1800,2450,2450,2450,2850,80.40,6400,98.00,852,64,37.90,1792,3.911
54,0,0,41.26,35.97,43.48,32.32,23.40,26.32,28.28,25.00,37.00,70.30,1250,1250,1250,1250,2450,2450,2450,2850,76.30,6400,98.00,852,64,37.90,1921,3.911
40,0,0,33.02,35.01,39.77,30.43,25.53,31.00,30.00,24.24,41.41,55.10,1600,1600,1600,1600,2450,2450,2450,2850,78.00,6400,99.00,852,64,37.90,1921,3.892
37,0,0,33.02,36.02,49.45,37.89,31.18,33.68,26.04,24.24,39.00,47.52,1500,1500,1500,1500,2450,2450,2450,2850,76.50,6400,99.00,852,64,37.90,1921,3.892
40,0,0,33.01,32.65,40.22,30.53,27.27,29.59,29.81,23.76,34.69,45.92,1600,1600,1600,1600,2450,2450,2450,2850,78.50,6400,99.00,852,64,37.90,1862,3.892
46,0,0,32.98,40.95,50.54,40.59,31.18,36.46,30.21,28.28,47.47,62.14,1250,1250,1250,1250,2300,2300,2300,2550,76.80,6400,99.00,852,64,37.90,1862,3.892
54,0,0,57.84,40.33,43.96,33.33,29.70,30.00,33.00,28.71,53.47,71.72,1200,1200,1200,1200,2450,2450,2450,2850,81.10,6400,96.00,852,64,37.90,1862,3.891
54,0,0,41.26,37.92,45.83,30.53,21.28,22.92,31.25,32.67,52.00,64.95,2000,2000,2000,2000,2450,2450,2450,2850,77.20,6400,98.00,852,64,37.90,1929,3.891
75,0,0,17.08,46.17,46.67,31.91,24.21,27.37,45.00,39.60,61.22,91.00,1200,1200,1200,1200,2100,2100,2100,2300,75.90,6400,95.00,852,64,37.90,1929,3.891
69,0,0,24.76,44.74,53.47,36.46,31.25,37.00,40.00,29.47,55.67,74.23,1150,1150,1150,1150,2450,2450,2450,2850,82.40,6400,98.00,852,64,37.90,1929,3.891
65,0,0,49.50,41.94,46.81,30.93,27.08,25.26,38.10,29.59,58.76,79.17,1400,1400,1400,1400,2450,2450,2450,2850,80.20,5500,96.00,800,64,37.90,1955,3.907
55,0,0,24.77,36.84,44.33,29.90,25.77,29.00,30.69,27.00,50.00,59.41,2000,2000,2000,2000,2450,2450,2450,2850,77.60,6400,99.00,852,64,37.90,1955,3.907
48,0,0,33.02,32.33,44.90,30.00,24.00,21.43,24.24,19.19,42.31,50.51,1150,1150,1150,1150,2450,2450,2450,2850,77.60,6400,99.00,852,64,37.90,1955,3.907
48,1,0,74.30,34.24,47.00,36.46,27.08,25.53,21.74,22.45,41.00,52.04,1600,1600,1600,1600,2450,2450,2450,2850,80.10,6400,99.00,852,64,37.90,1910,3.88
58,0,0,24.78,38.48,44.68,24.18,25.77,27.84,33.33,32.65,52.48,63.00,1400,1400,1400,1400,2450,2450,2450,2850,78.40,6400,99.00,852,64,37.90,1910,3.88
63,0,0,24.77,41.49,46.88,32.29,27.55,25.26,35.11,34.65,55.56,71.57,1500,1500,1500,1500,1800,1800,1800,2000,78.00,6400,99.00,852,64,37.90,1910,3.88
64,1,1,99.03,49.74,58.06,46.81,44.90,41.67,33.33,23.16,60.61,89.69,2000,2000,2000,2000,1700,1700,1700,1900,76.90,5500,86.00,800,64,37.90,2018,3.88
75,0,0,24.76,50.91,62.11,57.73,52.22,55.56,17.71,11.11,64.65,86.14,1800,1800,1800,1800,2450,2450,2450,2850,82.40,6400,96.00,852,64,37.90,2018,3.897
85,1,0,49.52,49.75,58.33,50.00,47.92,48.94,27.45,23.23,57.84,85.15,1500,1500,1500,1500,2450,2450,2450,2850,80.00,5500,95.00,721,64,37.90,2018,3.897
78,0,0,16.53,45.13,48.89,34.04,32.00,30.61,36.73,35.92,62.75,79.79,1400,1400,1400,1400,2450,2450,2450,2850,84.90,6400,99.00,852,64,37.90,1970,3.897
62,1,0,57.77,42.45,46.07,32.26,31.31,32.99,32.29,31.68,56.12,76.00,2000,2000,2000,2000,2450,2450,2450,2850,79.80,6400,95.00,852,64,37.90,1970,3.879
52,0,0,24.78,37.87,50.00,32.22,29.17,34.34,31.37,21.28,44.33,59.60,1500,1500,1500,1500,2450,2450,2450,2850,78.60,6400,99.00,852,64,37.90,1970,3.879
52,1,0,66.01,37.72,43.96,30.93,25.00,24.74,32.00,27.00,47.47,70.30,1400,1400,1400,1400,1600,1600,1600,1800,76.40,5500,95.00,721,64,38.70,1962,3.879
68,0,0,24.76,43.32,46.15,31.18,30.00,27.37,40.43,34.04,53.61,81.00,1500,1500,1500,1500,2000,2000,2000,2200,77.40,6400,98.00,852,64,38.70,1962,3.879
